Photons: Ambient dose (H*10) per fluence, in units of pSv cm²

Energy (MeV)            Dose
0.010					0.061
0.015					0.83
0.020					1.05					
0.030					0.81					
0.040					0.64					
0.050					0.55					
0.060					0.51					
0.080					0.53					
0.100					0.61					
0.150					0.89					
0.200					1.20					
0.300					1.80					
0.400					2.38					
0.500					2.93					
0.600					3.44					
0.800					4.38					
1				    	5.20					
1.5	    				6.90					
2		    			8.60					
3			    		11.1					
4				    	13.4					
5				    	15.5					
6   					17.6
8		    			21.6
10				    	25.6
