Negative Muons: Effective dose per fluence, in units of pSv cm², for monoenergetic particles incident in various geometries.

Energy (MeV)        AP           PA           ISO
     1.0         180           75.2         78.7
     1.5         180           76.8         79.5
     2.0         184           78.3         80.9
     3.0         188           81.4         83.7
     4.0         193           84.8         87.1
     5.0         205           87.7         91.5
     6.0         242           86.7         98.1
     8.0         293           86.8        113
    10.0         332           88.6        127
    15.0         414          100          161
    20.0         465          122          191
    30.0         657          251          275
    40.0         735          457          363
    50.0         755          703          446
    60.0         628          775          496
    80.0         431          485          498
   100           382          402          432
   150           340          345          354
   200           326          329          332
   300           319          321          321
   400           320          321          321
   500           321          324          323
   600           325          326          326
   800           327          332          331
  1000           333          337          337
  1500           331          338          338
  2000           333          341          341
  3000           336          344          344
  4000           337          345          346
  5000           337          346          347
  6000           337          346          347
  8000           337          347          348
 10000           338          347          348
 15000           338          347          348
 20000           340          347          349
 30000           338          348          350
 40000           339          348          350
 50000           343          348          350
 60000           339          349          351
 80000           339          349          351
100000           345          350          352
