Electrons: Effective dose per fluence, in units of pSv cm², for monoenergetic particles incident in various geometries.

Energy (MeV)        AP           PA           ISO
     0.01          0.0269       0.0268       0.0188
     0.015         0.0404       0.0402       0.0283
     0.02          0.0539       0.0535       0.0377
     0.03          0.0810       0.0801       0.0567
     0.04          0.108        0.107        0.0758
     0.05          0.135        0.133        0.0948
     0.06          0.163        0.160        0.114
     0.08          0.218        0.213        0.152
     0.1           0.275        0.267        0.191
     0.15          0.418        0.399        0.291
     0.2           0.569        0.530        0.393
     0.3           0.889        0.787        0.606
     0.4           1.24         1.04         0.832
     0.5           1.63         1.28         1.08
     0.6           2.05         1.50         1.35
     0.8           4.04         1.68         1.97
     1.0           7.10         1.68         2.76
     1.5          15.0          1.62         4.96
     2.0          22.4          1.62         7.24
     3.0          36.1          1.95        11.9
     4.0          48.2          2.62        16.4
     5.0          59.3          3.63        21.0
     6.0          70.6          5.04        25.5
     8.0          97.9          9.46        35.5
    10.0         125           18.3         46.7
    15.0         188           53.1         76.9
    20.0         236          104          106
    30.0         302          220          164
    40.0         329          297          212
    50.0         337          331          249
    60.0         341          344          275
    80.0         346          358          309
   100           349          366          331
   150           355          379          363
   200           359          388          383
   300           365          399          410
   400           369          408          430
   500           372          414          445
   600           375          419          457
   800           379          428          478
  1000           382          434          495
  1500           387          446          525
  2000           391          455          549
  3000           397          468          583
  4000           401          477          608
  5000           405          484          628
  6000           407          490          646
  8000           411          499          675
 10000           414          507          699
