He ions: Effective dose per fluence, in units of pSv cm², for monoenergetic particles incident in various geometries.

Energy (MeV/u)      AP           PA           ISO
     1.0         219          219          141
     2.0         438          438          281
     3.0         656          656          419
     5.0        1.09E+3      1.09E+3       689
    10.0        2.19E+3      2.19E+3      1.82E+3
    20.0        1.72E+4      1.74E+3      5.46E+3
    30.0        3.01E+4      1.44E+3      9.86E+3
    50.0        4.75E+4      2.88E+3      1.78E+4
   100          1.01E+5      4.84E+4      4.55E+4
   150          9.25E+4      1.10E+5      6.95E+4
   200          6.74E+4      7.29E+4      7.01E+4
   300          5.14E+4      5.33E+4      5.25E+4
   500          4.27E+4      4.49E+4      4.27E+4
  1000          4.00E+4      4.47E+4      4.09E+4
  2000          4.02E+4      4.80E+4      4.31E+4
  3000          4.08E+4      5.01E+4      4.50E+4
  5000          4.12E+4      5.18E+4      4.76E+4
 10000          4.56E+4      6.26E+4      5.73E+4
 20000          5.12E+4      6.10E+4      7.10E+4
 50000          6.12E+4      8.14E+4      9.67E+4
100000          7.14E+4      1.01E+5      1.24E+5
