Photons: Effective dose per fluence, in units of pSv cm², for monoenergetic particles incident in various geometries.

Energy (MeV)       AP           PA           LLAT         RLAT         ROT          ISO
     0.01          0.0685       0.0184       0.0189       0.0182       0.0337       0.0288
     0.015         0.156        0.0155       0.0416       0.0390       0.0665       0.0560
     0.02          0.225        0.0261       0.0654       0.0573       0.0988       0.0813
     0.03          0.312        0.0946       0.109        0.0886       0.159        0.127
     0.04          0.350        0.163        0.138        0.113        0.199        0.158
     0.05          0.369        0.209        0.158        0.132        0.226        0.180
     0.06          0.389        0.243        0.174        0.149        0.248        0.198
     0.07          0.411        0.273        0.191        0.165        0.273        0.218
     0.08          0.443        0.302        0.211        0.183        0.297        0.238
     0.1           0.518        0.363        0.255        0.224        0.356        0.286
     0.15          0.747        0.543        0.391        0.346        0.529        0.429
     0.2           1.00         0.745        0.546        0.489        0.722        0.589
     0.3           1.51         1.16         0.880        0.797        1.12         0.932
     0.4           2.00         1.58         1.23         1.12         1.53         1.28
     0.5           2.47         1.99         1.57         1.45         1.92         1.63
     0.511         2.52         2.03         1.61         1.48         1.97         1.66
     0.6           2.91         2.39         1.91         1.77         2.31         1.97
     0.662         3.17         2.63         2.12         1.97         2.54         2.17
     0.8           3.73         3.14         2.57         2.40         3.04         2.62
     1.0           4.49         3.84         3.21         3.02         3.73         3.25
     1.117         4.90         4.23         3.56         3.36         4.10         3.60
     1.33          5.60         4.90         4.18         3.97         4.75         4.21
     1.5           6.12         5.41         4.66         4.43         5.24         4.67
     2.0           7.48         6.77         5.94         5.68         6.56         5.91
     3.0           9.75         9.13         8.18         7.88         8.85         8.08
     4.0          11.7         11.2         10.2          9.84        10.9         10.0
     5.0          13.4         13.2         12.0         11.6         12.7         11.8
     6.0          15.0         15.0         13.7         13.3         14.4         13.5
     6.129        15.1         15.2         13.9         13.5         14.6         13.7
     8.0          17.8         18.6         16.9         16.6         17.6         16.6
    10.0          20.5         22.1         20.0         19.7         20.7         19.7
    15.0          26.1         30.4         27.3         27.1         27.7         26.8
    20.0          30.8         38.2         34.4         34.3         34.4         33.8
    30.0          37.9         51.3         47.4         48.0         46.0         46.1
    40.0          43.2         61.8         59.3         60.9         56.0         56.9
    50.0          47.1         70.1         69.7         72.3         64.3         66.1
    60.0          50.1         76.5         78.6         82.1         71.1         74.1
    80.0          54.5         86.2         92.9         98.1         81.8         87.1
   100            57.8         92.7        103          110           89.5         97.5
   150            63.2        103          122          130          102          116
   200            67.2        110          134          144          110          129
   300            72.3        118          149          161          121          147
   400            75.4        123          159          173          128          159
   500            77.4        127          166          181          132          167
   600            78.7        130          171          187          136          174
   800            80.4        134          179          195          141          185
  1000            81.6        137          184          202          145          193
  1500            83.7        141          194          213          151          208
  2000            85.0        144          200          220          156          218
  3000            86.6        147          208          230          161          232
  4000            87.8        149          213          236          164          242
  5000            88.6        151          217          241          167          251
  6000            89.1        152          221          245          169          258
  8000            89.9        153          226          251          172          268
 10000            90.4        154          230          256          174          276
