Neutrons: Effective dose per fluence, in units of pSv cm², for monoenergetic particles incident in various geometries.

Energy (MeV)    AP      PA      LLAT        RLAT        ROT     ISO
1.00E-09        5.24    3.52    1.68        1.36        2.99    2.4
1.00E-08        6.55    4.39    2.04        1.7         3.72    2.89
2.50E-08        7.6     5.16    2.31        1.99        4.4     3.3
1.00E-07        9.95    6.77    2.86        2.58        5.75    4.13
2.00E-07        11.2    7.63    3.21        2.92        6.43    4.59
5.00E-07        12.8    8.76    3.72        3.35        7.27    5.2
1.00E-06        13.8    9.55    4.12        3.67        7.84    5.63
2.00E-06        14.5    10.2    4.39        3.89        8.31    5.96
5.00E-06        15      10.7    4.66        4.08        8.72    6.28
1.00E-05        15.1    11      4.8         4.16        8.9     6.44
2.00E-05        15.1    11.1    4.89        4.2         8.92    6.51
5.00E-05        14.8    11.1    4.95        4.19        8.82    6.51
1.00E-04        14.6    11      4.95        4.15        8.69    6.45
2.00E-04        14.4    10.9    4.92        4.1         8.56    6.32
5.00E-04        14.2    10.7    4.86        4.03        8.4     6.14
1.00E-03        14.2    10.7    4.84        4           8.34    6.04
2.00E-03        14.4    10.8    4.87        4           8.39    6.05
5.00E-03        15.7    11.6    5.25        4.29        9.06    6.52
1.00E-02        18.3    13.5    6.14        5.02        10.6    7.7
2.00E-02        23.8    17.3    7.95        6.48        13.8    10.2
3.00E-02        29      21      9.74        7.93        16.9    12.7
5.00E-02        38.5    27.6    13.1        10.6        22.7    17.3
7.00E-02        47.2    33.5    16.1        13.1        27.8    21.5
1.00E-01        59.8    41.3    20.1        16.4        34.8    27.2
1.50E-01        80.2    52.2    25.5        21.2        45.4    35.2
2.00E-01        99      61.5    30.3        25.6        54.8    42.4
3.00E-01        133     77.1    38.6        33.4        71.6    54.7
5.00E-01        188     103     53.2        46.8        99.4    75
7.00E-01        231     124     66.6        58.3        123     92.8
9.00E-01        267     144     79.6        69.1        144     108
1               282     154     86          74.5        154     116
1.2             310     175     99.8        85.8        173     130
2               383     247     153         129         234     178
3               432     308     195         171         283     220
4               458     345     224         198         315     250
5               474     366     244         217         335     272
6               483     380     261         232         348     282
7               490     391     274         244         358     290
8               494     399     285         253         366     297
9               497     406     294         261         373     303
1.00E+01        499     412     302         268         378     309
1.20E+01        499     422     315         278         385     322
1.40E+01        496     429     324         286         390     333
1.50E+01        494     431     328         290         391     338
1.60E+01        491     433     331         293         393     342
1.80E+01        486     435     335         299         394     345
2.00E+01        480     436     338         305         395     343
