Photons: Effective dose per fluence, in units of pSv cm², for monoenergetic particles incident in various geometries.

Energy (MeV)        	AP		PA             	LLAT           	RLAT           	ROT            	ISO
0.01	               	0.0485179	0.0184264	0.0127796	0.0127796	0.0242218	0.0201353
0.015	         	0.125424	0.0182832	0.0171288	0.0171288	0.047736	0.038376
0.02	               	0.20496		0.030408	0.025368	0.02604	     	0.077616	0.060816
0.03	               	0.299936	0.092288	0.0563822	0.0651784	0.137711	0.103103
0.04           		0.338052	0.15873	     	0.087945	0.103389	0.182754	0.139854
0.05	               	0.357238	0.20672	     	0.111435	0.130815	0.213503	0.165053
0.06	               	0.378012  	0.244494	0.131495	0.152592	0.239292	0.185538
0.07	               	0.419286	0.287868	0.155556	0.178204	0.275352	0.21456
0.08			0.439931	0.312833	0.170078	0.192796	0.295027	0.229943
0.1	               	0.517174	0.38213	     	0.211841	0.237811	0.35616	     	0.277508
0.15	               	0.752344	0.574441	0.330049	0.37138	     	0.534308	0.4193
0.2	               	1.004088	0.78324	     	0.469944	0.52644	     	0.731024	0.581224
0.3	               	1.50834	     	1.2144	     	0.76866	     	0.8487	     	1.13712	     	0.91632
0.4	               	1.99584	     	1.64619	     	1.0773	     	1.17747	     	1.53846	     	1.26063
0.5	               	2.46568	     	2.06822	     	1.3923	     	1.5113	     	1.93256	     	1.6065
0.6	               	2.90816	     	2.4708	     	1.704	     	1.83748	     	2.31176	     	1.94256
0.8	               	3.7269	     	3.22875	     	2.31732	     	2.4723	     	3.02949	     	2.59407
1.0	               	4.48341	     	3.9336	     	2.90997	     	3.08877	     	3.71457	    	3.21393
2.0	               	7.4896	     	6.80255	     	5.4964	     	5.71535	     	6.57605	     	5.8437
4.0	               	12.0153	     	11.1078	     	9.6316	     	9.8373	     	10.9989	     	9.9704
6.0	               	15.9873	     	14.8764	     	13.3147	     	13.4596	     	14.8925	     	13.6206
8.0	               	19.9191	     	18.6327	     	17.0046	     	17.085	     	18.7734	     	17.2659
10	               	23.76	     	22.296	     	20.64	     	20.616	     	22.584	     	20.832
