Photons: Effective dose per air kerma free-in-air, in units of Sv/Gy, for monoenergetic particles incident in various geometries.

Energy (MeV)        AP           PA           LLAT         RLAT         ROT          ISO
     0.01          0.0090       0.0024       0.0025       0.0024       0.0044       0.0038
     0.015         0.0486       0.0048       0.0130       0.0122       0.0207       0.0175
     0.02          0.131        0.0151       0.0379       0.0332       0.0572       0.0471
     0.03          0.422        0.128        0.148        0.120        0.215        0.171
     0.04          0.798        0.371        0.315        0.258        0.455        0.360
     0.05          1.12         0.638        0.480        0.402        0.688        0.547
     0.06          1.33         0.832        0.595        0.508        0.850        0.679
     0.07          1.42         0.940        0.659        0.569        0.939        0.751
     0.08          1.43         0.980        0.684        0.594        0.964        0.773
     0.1           1.39         0.975        0.685        0.601        0.954        0.768
     0.15          1.25         0.906        0.651        0.577        0.882        0.715
     0.2           1.17         0.869        0.637        0.570        0.843        0.687
     0.3           1.09         0.840        0.637        0.577        0.814        0.674
     0.4           1.06         0.834        0.648        0.592        0.807        0.678
     0.5           1.04         0.836        0.660        0.608        0.808        0.684
     0.511         1.03         0.836        0.661        0.610        0.808        0.685
     0.6           1.02         0.839        0.673        0.623        0.811        0.692
     0.662         1.02         0.841        0.680        0.632        0.814        0.697
     0.8           1.01         0.848        0.695        0.649        0.822        0.708
     1.0           1.00         0.857        0.716        0.673        0.831        0.725
     1.117         0.999        0.863        0.726        0.686        0.837        0.734
     1.33          0.996        0.872        0.745        0.706        0.846        0.749
     1.5           0.996        0.880        0.758        0.721        0.853        0.760
     2.0           0.990        0.895        0.785        0.752        0.868        0.782
     3.0           0.977        0.915        0.820        0.790        0.887        0.810
     4.0           0.960        0.924        0.837        0.810        0.894        0.824
     5.0           0.943        0.928        0.844        0.821        0.894        0.832
     6.0           0.924        0.928        0.846        0.824        0.890        0.832
     6.129         0.922        0.928        0.845        0.824        0.889        0.832
     8.0           0.886        0.923        0.841        0.823        0.875        0.826
    10.0           0.848        0.914        0.830        0.815        0.856        0.814
    15.0           0.756        0.881        0.793        0.785        0.804        0.779
    20.0           0.679        0.843        0.758        0.757        0.759        0.745
