Positive Muons: Effective dose per fluence, in units of pSv cm², for monoenergetic particles incident in various geometries.

Energy (MeV)        AP           PA           ISO
     1.0         194           82.6         85.2
     1.5         196           84.1         86.2
     2.0         198           85.7         87.5
     3.0         202           88.9         90.3
     4.0         207           92.1         93.6
     5.0         216           94.3         97.7
     6.0         251           92.5        103
     8.0         300           92.8        117
    10.0         340           94.8        132
    15.0         425          108          167
    20.0         481          133          199
    30.0         674          265          284
    40.0         751          473          373
    50.0         768          721          456
    60.0         635          787          506
    80.0         431          483          502
   100           381          399          432
   150           339          345          354
   200           326          328          332
   300           318          320          320
   400           319          321          320
   500           320          323          322
   600           322          325          324
   800           325          330          329
  1000           327          333          333
  1500           331          339          338
  2000           333          341          341
  3000           336          344          344
  4000           337          345          346
  5000           337          346          347
  6000           337          346          347
  8000           337          347          348
 10000           339          347          348
 15000           338          347          348
 20000           338          347          349
 30000           338          348          350
 40000           339          348          350
 50000           343          348          350
 60000           339          349          351
 80000           339          349          351
100000           345          350          352
