Positrons: Effective dose per fluence, in units of pSv cm², for monoenergetic particles incident in various geometries.

Energy (MeV)        AP           PA           ISO
     0.01          3.28         1.62         1.39
     0.015         3.29         1.64         1.40
     0.02          3.30         1.65         1.41
     0.03          3.33         1.68         1.43
     0.04          3.36         1.71         1.45
     0.05          3.39         1.73         1.47
     0.06          3.42         1.76         1.49
     0.08          3.47         1.82         1.53
     0.1           3.53         1.87         1.57
     0.15          3.67         2.01         1.67
     0.2           3.84         2.14         1.77
     0.3           4.16         2.40         1.98
     0.4           4.52         2.65         2.21
     0.5           4.90         2.90         2.45
     0.6           5.36         3.12         2.72
     0.8           7.41         3.32         3.38
     1.0          10.5          3.37         4.20
     1.5          18.3          3.44         6.42
     2.0          25.7          3.59         8.70
     3.0          39.1          4.19        13.3
     4.0          51.0          5.11        18.0
     5.0          61.7          6.31        22.4
     6.0          72.9          8.03        26.9
     8.0          99.0         14.0         36.7
    10.0         126           23.6         47.6
    15.0         184           59.0         75.5
    20.0         229          111          104
    30.0         294          221          162
    40.0         320          291          209
    50.0         327          321          243
    60.0         333          334          268
    80.0         339          349          302
   100           342          357          323
   150           349          371          356
   200           354          381          377
   300           362          393          405
   400           366          402          425
   500           369          409          440
   600           372          415          453
   800           376          424          474
  1000           379          430          491
  1500           385          443          522
  2000           389          451          545
  3000           395          465          580
  4000           399          473          605
  5000           402          480          627
  6000           404          486          645
  8000           408          495          674
 10000           411          503          699
