Values of the mass attenuation coefficient, μ/ρ, and the mass energy-absorption coefficient, μen/ρ, as a function of photon energy, for Water, Liquid
Data is from the NIST Standard Reference Database 126 - Table 4
doi: https://dx.doi.org/10.18434/T4D01F 

Energy (MeV)        μ/ρ (cm2/g)         μen/ρ (cm2/g)
1.00000E-03         4.078E+03           4.065E+03 
1.50000E-03         1.376E+03           1.372E+03 
2.00000E-03         6.173E+02           6.152E+02 
3.00000E-03         1.929E+02           1.917E+02 
4.00000E-03         8.278E+01           8.191E+01 
5.00000E-03         4.258E+01           4.188E+01 
6.00000E-03         2.464E+01           2.405E+01 
8.00000E-03         1.037E+01           9.915E+00 
1.00000E-02         5.329E+00           4.944E+00 
1.50000E-02         1.673E+00           1.374E+00 
2.00000E-02         8.096E-01           5.503E-01 
3.00000E-02         3.756E-01           1.557E-01 
4.00000E-02         2.683E-01           6.947E-02 
5.00000E-02         2.269E-01           4.223E-02 
6.00000E-02         2.059E-01           3.190E-02 
8.00000E-02         1.837E-01           2.597E-02 
1.00000E-01         1.707E-01           2.546E-02 
1.50000E-01         1.505E-01           2.764E-02 
2.00000E-01         1.370E-01           2.967E-02 
3.00000E-01         1.186E-01           3.192E-02 
4.00000E-01         1.061E-01           3.279E-02 
5.00000E-01         9.687E-02           3.299E-02 
6.00000E-01         8.956E-02           3.284E-02 
8.00000E-01         7.865E-02           3.206E-02 
1.00000E+00         7.072E-02           3.103E-02 
1.25000E+00         6.323E-02           2.965E-02 
1.50000E+00         5.754E-02           2.833E-02 
2.00000E+00         4.942E-02           2.608E-02 
3.00000E+00         3.969E-02           2.281E-02 
4.00000E+00         3.403E-02           2.066E-02 
5.00000E+00         3.031E-02           1.915E-02 
6.00000E+00         2.770E-02           1.806E-02 
8.00000E+00         2.429E-02           1.658E-02 
1.00000E+01         2.219E-02           1.566E-02 
1.50000E+01         1.941E-02           1.441E-02 
2.00000E+01         1.813E-02           1.382E-02
