Neutrons: Effective dose per fluence, in units of pSv cm², for monoenergetic particles incident in various geometries.

Energy (MeV)        AP           PA           LLAT         RLAT         ROT          ISO
     1.0E-9        3.09         1.85         1.04         0.893        1.70         1.29
     1.0E-8        3.55         2.11         1.15         0.978        2.03         1.56
     2.5E-8        4.00         2.44         1.32         1.12         2.31         1.76
     1.0E-7        5.20         3.25         1.70         1.42         2.98         2.26
     2.0E-7        5.87         3.72         1.94         1.63         3.36         2.54
     5.0E-7        6.59         4.33         2.21         1.86         3.86         2.92
     1.0E-6        7.03         4.73         2.40         2.02         4.17         3.15
     2.0E-6        7.39         5.02         2.52         2.11         4.40         3.32
     5.0E-6        7.71         5.30         2.64         2.21         4.59         3.47
     1.0E-5        7.82         5.44         2.65         2.24         4.68         3.52
     2.0E-5        7.84         5.51         2.68         2.26         4.72         3.54
     5.0E-5        7.82         5.55         2.66         2.24         4.73         3.55
     1.0E-4        7.79         5.57         2.65         2.23         4.72         3.54
     2.0E-4        7.73         5.59         2.66         2.24         4.67         3.52
     5.0E-4        7.54         5.60         2.62         2.21         4.60         3.47
     0.001         7.54         5.60         2.61         2.21         4.58         3.46
     0.002         7.61         5.62         2.60         2.20         4.61         3.48
     0.005         7.97         5.95         2.74         2.33         4.86         3.66
     0.01          9.11         6.81         3.13         2.67         5.57         4.19
     0.02         12.2          8.93         4.21         3.60         7.41         5.61
     0.03         15.7         11.2          5.40         4.62         9.46         7.18
     0.05         23.0         15.7          7.91         6.78        13.7         10.4
     0.07         30.6         20.0         10.5          8.95        18.0         13.7
     0.1          41.9         25.9         14.4         12.3         24.3         18.6
     0.15         60.6         34.9         20.8         17.9         34.7         26.6
     0.2          78.8         43.1         27.2         23.4         44.7         34.4
     0.3         114           58.1         39.7         34.2         63.8         49.4
     0.5         177           85.9         63.7         54.4         99.1         77.1
     0.7         232          112           85.5         72.6        131          102
     0.9         279          136          105           89.3        160          126
     1.0         301          148          115           97.4        174          137
     1.2         330          167          130          110          193          153
     1.5         365          195          150          128          219          174
     2.0         407          235          179          153          254          203
     3.0         458          292          221          192          301          244
     4.0         483          330          249          220          331          271
     5.0         494          354          269          240          351          290
     6.0         498          371          284          255          365          303
     7.0         499          383          295          267          374          313
     8.0         499          392          303          276          381          321
     9.0         500          398          310          284          386          327
    10.0         500          404          316          290          390          332
    12.0         499          412          325          301          395          339
    14.0         495          417          333          310          398          344
    15.0         493          419          336          313          398          346
    16.0         490          420          338          317          399          347
    18.0         484          422          343          323          399          350
    20.0         477          423          347          328          398          352
    21.0         474          423          348          330          398          353
    30.0         453          422          360          345          395          358
    50.0         433          428          380          370          395          371
    75.0         420          439          399          392          402          387
   100           402          444          409          404          406          397
   130           382          446          416          413          411          407
   150           373          446          420          418          414          412
   180           363          447          425          425          418          421
   200           359          448          427          429          422          426
   300           363          464          441          451          443          455
   400           389          496          472          483          472          488
   500           422          533          510          523          503          521
   600           457          569          547          563          532          553
   700           486          599          579          597          558          580
   800           508          623          603          620          580          604
   900           524          640          621          638          598          624
  1000           537          654          635          651          614          642
  2000           612          740          730          747          718          767
  5000           716          924          963          979          906         1.01E+3
 10000           933         1.17E+3      1.23E+3      1.26E+3      1.14E+3      1.32E+3
