Positive Pions: Effective dose per fluence, in units of pSv cm², for monoenergetic particles incident in various geometries.

Energy (MeV)        AP           PA           ISO
     1.0         314          121          151
     1.5         324          125          160
     2.0         340          133          168
     3.0         379          151          183
     4.0         429          170          198
     5.0         489          183          216
     6.0         540          185          233
     8.0         717          177          265
    10.0         819          179          296
    15.0         1000         201          367
    20.0        1.10E+3       247          439
    30.0        1.52E+3       494          602
    40.0        1.75E+3       906          787
    50.0        1.83E+3      1.48E+3       953
    60.0        1.66E+3      1.82E+3      1.09E+3
    80.0        1.22E+3      1.38E+3      1.16E+3
   100          1.13E+3      1.12E+3      1.10E+3
   150          1.22E+3      1.15E+3      1.05E+3
   200          1.25E+3      1.23E+3      1.08E+3
   300          1.07E+3      1.10E+3      1.02E+3
   400           969          998          953
   500           943          970          930
   600           952          980          938
   800           999         1.04E+3       993
  1000          1.04E+3      1.09E+3      1.05E+3
  1500          1.10E+3      1.16E+3      1.13E+3
  2000          1.10E+3      1.19E+3      1.16E+3
  3000          1.06E+3      1.16E+3      1.16E+3
  4000          1.06E+3      1.16E+3      1.18E+3
  5000          1.07E+3      1.20E+3      1.23E+3
  6000          1.10E+3      1.24E+3      1.28E+3
  8000          1.14E+3      1.31E+3      1.37E+3
 10000          1.17E+3      1.35E+3      1.43E+3
 15000          1.22E+3      1.42E+3      1.55E+3
 20000          1.25E+3      1.48E+3      1.64E+3
 30000          1.30E+3      1.57E+3      1.79E+3
 40000          1.34E+3      1.64E+3      1.90E+3
 50000          1.38E+3      1.70E+3      2.01E+3
 60000          1.42E+3      1.75E+3      2.10E+3
 80000          1.48E+3      1.84E+3      2.27E+3
100000          1.54E+3      1.94E+3      2.42E+3
150000          1.67E+3      2.14E+3      2.76E+3
200000          1.78E+3      2.33E+3      3.07E+3
