Protons: Effective dose per fluence, in units of pSv cm², for monoenergetic particles incident in various geometries.

Energy (MeV)        AP           PA           LLAT         RLAT         ROT          ISO
     1.0           5.46         5.47         2.81         2.81         4.50         3.52
     1.5           8.20         8.21         4.21         4.20         6.75         5.28
     2.0          10.9         10.9          5.61         5.62         8.98         7.02
     3.0          16.4         16.4          8.43         8.41        13.4         10.5
     4.0          21.9         21.9         11.2         11.2         17.8         13.9
     5.0          27.3         27.3         14.0         14.0         22.1         17.3
     6.0          32.8         32.8         16.8         16.8         26.3         20.5
     8.0          43.7         43.7         22.4         22.4         34.5         26.8
    10.0          54.9         54.6         28.1         28.1         50.1         45.8
    15.0         189           56.1         50.7         48.9         93.7         80.1
    20.0         428           43.6         82.8         78.8        165          136
    30.0         750           36.1        180          172          296          249
    40.0        1.02E+3        45.5        290          278          422          358
    50.0        1.18E+3        71.5        379          372          532          451
    60.0        1.48E+3       156          500          447          687          551
    80.0        2.16E+3       560          799          602         1.09E+3       837
   100          2.51E+3      1.19E+3       994          818         1.44E+3      1.13E+3
   150          2.38E+3      2.82E+3      1.64E+3      1.46E+3      2.16E+3      1.79E+3
   200          1.77E+3      1.93E+3      2.15E+3      2.18E+3      1.96E+3      1.84E+3
   300          1.38E+3      1.45E+3      1.44E+3      1.45E+3      1.44E+3      1.42E+3
   400          1.23E+3      1.30E+3      1.27E+3      1.28E+3      1.28E+3      1.25E+3
   500          1.15E+3      1.24E+3      1.21E+3      1.21E+3      1.22E+3      1.18E+3
   600          1.16E+3      1.23E+3      1.20E+3      1.20E+3      1.22E+3      1.17E+3
   800          1.11E+3      1.23E+3      1.19E+3      1.20E+3      1.20E+3      1.17E+3
  1000          1.09E+3      1.23E+3      1.18E+3      1.20E+3      1.19E+3      1.15E+3
  1500          1.15E+3      1.25E+3      1.21E+3      1.23E+3      1.23E+3      1.21E+3
  2000          1.12E+3      1.28E+3      1.25E+3      1.25E+3      1.23E+3      1.22E+3
  3000          1.23E+3      1.34E+3      1.32E+3      1.32E+3      1.30E+3      1.31E+3
  4000          1.27E+3      1.40E+3      1.31E+3      1.33E+3      1.29E+3      1.40E+3
  5000          1.23E+3      1.45E+3      1.39E+3      1.41E+3      1.35E+3      1.43E+3
  6000          1.37E+3      1.53E+3      1.44E+3      1.45E+3      1.41E+3      1.57E+3
  8000          1.45E+3      1.65E+3      1.56E+3      1.59E+3      1.49E+3      1.71E+3
 10000          1.41E+3      1.74E+3      1.63E+3      1.67E+3      1.56E+3      1.78E+3
