Negative Pions: Effective dose per fluence, in units of pSv cm², for monoenergetic particles incident in various geometries.

Energy (MeV)        AP           PA           ISO
     1.0         406          194          176
     1.5         422          201          189
     2.0         433          210          198
     3.0         458          225          215
     4.0         491          233          232
     5.0         528          237          251
     6.0         673          208          271
     8.0         965          181          317
    10.0        1.09E+3       178          361
    15.0        1.25E+3       197          439
    20.0        1.28E+3       244          508
    30.0        1.77E+3       547          676
    40.0        1.92E+3      1.02E+3       868
    50.0        1.93E+3      1.70E+3      1.02E+3
    60.0        1.68E+3      1.99E+3      1.15E+3
    80.0        1.14E+3      1.31E+3      1.15E+3
   100           995          991         1.03E+3
   150           927          889          857
   200           902          871          815
   300           848          843          794
   400           844          850          807
   500           869          880          838
   600           901          917          875
   800           947          976          935
  1000           977         1.02E+3       979
  1500          1.03E+3      1.08E+3      1.05E+3
  2000          1.05E+3      1.12E+3      1.09E+3
  3000          1.03E+3      1.11E+3      1.11E+3
  4000          1.03E+3      1.13E+3      1.15E+3
  5000          1.06E+3      1.18E+3      1.20E+3
  6000          1.09E+3      1.22E+3      1.26E+3
  8000          1.14E+3      1.29E+3      1.36E+3
 10000          1.17E+3      1.34E+3      1.43E+3
 15000          1.21E+3      1.41E+3      1.55E+3
 20000          1.24E+3      1.47E+3      1.64E+3
 30000          1.30E+3      1.56E+3      1.79E+3
 40000          1.35E+3      1.63E+3      1.91E+3
 50000          1.39E+3      1.70E+3      2.02E+3
 60000          1.42E+3      1.75E+3      2.11E+3
 80000          1.48E+3      1.86E+3      2.29E+3
100000          1.54E+3      1.95E+3      2.46E+3
150000          1.67E+3      2.15E+3      2.80E+3
200000          1.78E+3      2.33E+3      3.04E+3
